index,product_smiles,ground_truth_reactants,predicted_reactants_cot_no_rag,exact_match_cot_no_rag,core_exact_match_cot_no_rag,valid_cot_no_rag,predicted_reactants_hybrid_rag_rerank,exact_match_hybrid_rag_rerank,core_exact_match_hybrid_rag_rerank,valid_hybrid_rag_rerank,predicted_reactants_rag_cot,exact_match_rag_cot,core_exact_match_rag_cot,valid_rag_cot,predicted_reactants_reactiont5v2,exact_match_reactiont5v2,core_exact_match_reactiont5v2,valid_reactiont5v2
0,CCOC(=O)C1CSCCN1C(=O)Nc1ccc(Cl)cc1F,CCOC(=O)C1CSCCN1.O=C=Nc1ccc(Cl)cc1F,CCOC(=O)C1CSCCN1.O=C(Cl)c1ccc(Cl)cc1F,False,False,True,CCOC(=O)C1CSCCN1.O=C=Nc1ccc(Cl)cc1F,True,True,True,CCOC(=O)C1CSCCN1.O=C(Cl)c1cc(F)ccc1Cl,False,False,True,CCOC(=O)C1CSCCN1.O=C=Nc1ccc(Cl)cc1F,True,True,True
1,CCN(CC)c1ccc(C2(c3ccc(N(C)C)cc3N(C)C)OC(=O)c3ccccc32)c(C)c1,CC(=O)OC(C)=O.CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(C)c1.CN(C)c1cccc(N(C)C)c1.[Na+].[OH-],,False,False,False,CC(=O)OC(C)=O.CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(C)c1.CN(C)c1cccc(N(C)C)c1,False,True,True,CC(=O)OC(C)=O.CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(C)c1.CN(C)c1ccc(N(C)C)cc1,False,False,True,CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(C)c1.CN(C)c1cccc(N(C)C)c1,False,False,True
2,COc1c(NC2CCC(=NOCc3ccccc3)CC2)ccnc1C,CCOC(C)=O.CO.COc1c(NC2CCC(=O)CC2)ccnc1C.NOCc1ccccc1.O,COc1c(Br)ccnc1C.c1ccc(CON=C2CCCCC2)cc1,False,False,True,COc1c(NC2CCC(=O)CC2)ccnc1C.NOCc1ccccc1,False,False,True,ON=C1CCCCC1.BrCc1ccccc1,False,False,True,COc1c(NC2CCC(=O)CC2)ccnc1C.NOCc1ccccc1,False,False,True
3,O=C(N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O)c1c(Cl)cccc1Cl,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O.O=C(Cl)c1c(Cl)cccc1Cl.[Na+].[OH-],O=C(Cl)c1cccc(Cl)c1Cl.N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,False,False,True,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O.O=C(Cl)c1c(Cl)cccc1Cl,False,True,True,O=C(O)c1c(Cl)cccc1Cl.N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,False,False,True,N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O.O=C(Cl)c1c(Cl)cccc1Cl,False,True,True
4,Cc1ccc(-c2ccc(C)c(CO)c2)cc1,CCOC(=O)c1cc(-c2ccc(C)cc2)ccc1C.O=S(=O)([O-])[O-].[Na+].[Na+].[Al+3].[H-].[H-].[H-].[H-].[Li+],Cc1ccc(Br)cc1.Cc1cccc(B(O)O)c1CO,False,False,True,CCOC(=O)c1cc(-c2ccc(C)cc2)ccc1C,False,True,True,Cc1ccc(Br)cc1.Cc1ccc(B(O)O)cc1CO,False,False,True,CCOC(=O)c1cc(-c2ccc(C)cc2)ccc1C,False,True,True
5,CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)c(N(C)C)c1,CN(C)c1cccc(N(C)C)c1.Clc1ccccc1.O=C1OC(=O)c2ccccc21,CN(C)c1ccc(N(C)C)cc1.CN(C)c1ccc(C(=O)Cl)cc1,False,False,True,CN(C)c1cccc(N(C)C)c1.O=C1OC(=O)c2ccccc21,False,False,True,CN(C)c1ccc(N(C)C)cc1.O=C(O)c1ccc(C(=O)Cl)cc1,False,False,True,CN(C)c1cccc(N(C)C)c1.O=C1OC(=O)c2ccccc21,False,False,True
6,O=C(NOCCO)c1cc(CN2CCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,COC(=O)CCCCN.Cl.O=Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F.[BH3-]C#N.[Na+],O=C(O)c1cc(CN2CCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F.OCCNO,False,False,True,COC(=O)CCCCNCc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F,False,False,True,O=C1CCCCN1Cc1ccc(Nc2ccc(I)cc2F)c(F)c1F.O=C(Cl)OCCO,False,False,True,COC(=O)CCCCNCc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F,False,False,True
7,COc1cc(OC)cc(OC)c1,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni].C=Cc1ccccc1.O=S(=O)(Oc1ccccc1)C(F)(F)F,Oc1cc(O)cc(O)c1.CI,False,False,True,C=CCCCCCC.O=S(=O)(Oc1ccccc1)C(F)(F)F,False,False,True,Oc1ccc(O)c(O)c1.CI,False,False,True,C=CCCCCCC.O=S(=O)(Oc1ccccc1)C(F)(F)F,False,False,True
8,Cc1ccc(C23CCCN2CCC3)cn1.Cl.Cl,Cc1ccc(C23CCCN2CCC3)cn1.Cl,Cc1ccc(Br)cn1.C1CC2CN(C1)C2,False,False,True,Cc1ccc(C23CCCN2CCC3)cn1.Cl,True,True,True,Cc1ccc(Br)cn1.C1CC2CCN(C1)C2,False,False,True,Cc1ccc(C23CCCN2CCC3)cn1.Cl,True,True,True
9,COC(=O)C(CN1CC[C@H](NC(=O)OC(C)(C)C)[C@H](OC)C1)c1c(F)cnc2ccc(OC)nc12,C=C(C(=O)OC)c1c(F)cnc2ccc(OC)nc12.CO[C@@H]1CNCC[C@@H]1N(C(=O)[O-])C(C)(C)C,COc1ccc2ncc(F)c(C(CN3CC[C@H](NC(=O)OC(C)(C)C)[C@H](OC)C3)C(=O)O)c2n1.CO,False,False,True,C=C(C(=O)OC)c1c(F)cnc2ccc(OC)nc12.CO[C@@H]1CNCC[C@@H]1NC(=O)OC(C)(C)C,False,False,True,COC(=O)C(Br)c1c(F)cnc2ccc(OC)nc12.CO[C@@H]1CNCC[C@@H]1NC(=O)OC(C)(C)C,False,False,True,C=C(C(=O)OC)c1c(F)cnc2ccc(OC)nc12.CO[C@@H]1CNCC[C@@H]1NC(=O)OC(C)(C)C,False,False,True
